status,name,solver,mem,nvar,time,neval_obj,neval_grad,num_iter,mem,FA_F1,FA_Score
first_order,NZF1,LBFGSSolver,1,988,3.749197748,6.0330862217988015,6.013715156042802,5.953243334287785,1,0.25168452342788145,0.25168452342788145
first_order,NZF1,LBFGSSolver,2,988,3.708993611,5.968707559985366,5.950642552587727,5.87493073085203,2,0.2265435781991783,0.2265435781991783
first_order,NZF1,LBFGSSolver,3,988,3.678197485,5.8998973535824915,5.8805329864007,5.811140992976701,3,0.19862953410774337,0.19862953410774337
first_order,NZF1,LBFGSSolver,4,988,3.639498875,5.817111159963204,5.796057750765372,5.726847747587197,4,0.16498604133038292,0.16498604133038292
first_order,NZF1,LBFGSSolver,5,988,3.499508447,5.497168225293202,5.4680601411351315,5.429345628954441,5,0.03439628353331367,0.03439628353331367
first_order,NZF1,LBFGSSolver,6,988,3.5640577130000004,5.659482215759621,5.634789603169249,5.594711379601839,6,0.1007968782292184,0.1007968782292184
first_order,NZF1,LBFGSSolver,7,988,3.5492265780000003,5.645446897643238,5.616771097666572,5.575949103146316,7,0.09362113383363939,0.09362113383363939
first_order,NZF1,LBFGSSolver,8,988,3.460562233,5.41610040220442,5.384495062789089,5.3471075307174685,8,0.0011170648105920456,0.0011170648105920456
first_order,NZF1,LBFGSSolver,9,988,3.459316653,5.3981627015177525,5.365976015021851,5.308267697401205,9,-0.0062852765298589495,-0.0062852765298589495
first_order,NZF1,LBFGSSolver,10,988,3.4284118890000004,5.313205979041787,5.278114659230517,5.220355825078324,10,-0.04127719933142647,-0.04127719933142647
first_order,NZF1,LBFGSSolver,11,988,3.524084437,5.575949103146316,5.54907608489522,5.5053315359323625,11,0.06665520521365857,0.06665520521365857
first_order,NZF1,LBFGSSolver,12,988,3.5427581860000004,5.598421958998375,5.572154032177765,5.529429087511423,12,0.07584765540678416,0.07584765540678416
first_order,NZF1,LBFGSSolver,13,988,3.482533254,5.4680601411351315,5.438079308923196,5.393627546352362,13,0.02244820669481014,0.02244820669481014
first_order,NZF1,LBFGSSolver,14,988,3.4838610720000003,5.455321115357702,5.424950017481403,5.375278407684165,14,0.017212363069150464,0.017212363069150464
first_order,NZF1,LBFGSSolver,15,988,3.4029636520000004,5.214935757608986,5.176149732573829,5.111987788356544,15,-0.08189441815294352,-0.08189441815294352
first_order,NZF1,LBFGSSolver,16,988,3.4719386460000004,5.424950017481403,5.393627546352362,5.327876168789581,16,0.004716465526390699,0.004716465526390699
first_order,NZF1,LBFGSSolver,17,988,3.4640016570000003,5.3981627015177525,5.365976015021851,5.327876168789581,17,-0.006259568321347456,-0.006259568321347456
first_order,NZF1,LBFGSSolver,18,988,3.4771719580000005,5.442417710521793,5.4116460518550396,5.3471075307174685,18,0.011894115865036447,0.011894115865036447
first_order,NZF1,LBFGSSolver,19,988,3.386356884,5.159055299214529,5.117993812416755,5.087596335232384,19,-0.10501102597958133,-0.10501102597958133
first_order,NZF1,LBFGSSolver,20,988,3.389150643,5.187385805840755,5.135798437050262,5.062595033026967,20,-0.09797232277600225,-0.09797232277600225
first_order,NZF1,LBFGSSolver,21,988,3.3874469470000004,5.159055299214529,5.117993812416755,5.043425116919247,21,-0.10506948996180641,-0.10506948996180641
first_order,NZF1,LBFGSSolver,22,988,3.4096081010000003,5.236441962829949,5.198497031265826,5.14166355650266,22,-0.07298488423114943,-0.07298488423114943
first_order,NZF1,LBFGSSolver,23,988,3.376147312,5.10594547390058,5.062595033026967,5.0106352940962555,23,-0.12710268810202607,-0.12710268810202607
first_order,NZF1,LBFGSSolver,24,988,3.424269692,5.278114659230517,5.241747015059643,5.198497031265826,24,-0.05574221664987655,-0.05574221664987655
first_order,NZF1,LBFGSSolver,25,988,3.39337187,5.181783550292085,5.14166355650266,5.0689042022202315,25,-0.09564051441772195,-0.09564051441772195
