neval_obj,neval_grad,num_iter,mem
0.18407947610786973,0.25160779084565627,0.2913815424546886,-1.7089323487160135
0.1573366271784123,0.2264861928022562,0.2611903565659885,-1.674327689543132
0.12875291787470614,0.19856179703822013,0.23659804639505314,-1.6397230303702508
0.09436359372532827,0.16491560522113796,0.20410119494247547,-1.6051183711973693
-0.03854046682694434,0.034275300921729854,0.08940775644260228,-1.5705137120244879
0.028884645840976064,0.10068306432088592,0.1531597950466543,-1.5359090528516064
0.023054384982944483,0.09350635640358122,0.14592653563102798,-1.501304393678725
-0.07221598111747012,0.0009916215795607059,0.05770320823354546,-1.4666997345058435
-0.07966728883485522,-0.006384450576497314,0.042729620635995794,-1.432095075332962
-0.1149582490803573,-0.041379322245465186,0.008837710998472754,-1.3974904161600805
-0.005814947911045204,0.06654366884628042,0.11870195101466662,-1.362885756987199
0.0035202599378955745,0.07573553478395023,0.12799207325894646,-1.3282810978143176
-0.05063194365075678,0.022334039984699846,0.07563767060562734,-1.293676438641436
-0.05592372562133466,0.01710468898081598,0.06856368465541521,-1.2590717794685549
-0.15577962703408907,-0.08199159701573966,-0.03294048813578068,-1.2244671202956734
-0.06853985741794366,0.004629057940942486,0.050289106321660525,-1.189862461122792
-0.07966728883485522,-0.006384450576497314,0.050289106321660525,-1.1552578019499105
-0.0612837905323191,0.011805765858247176,0.05770320823354546,-1.120653142777029
-0.17899232849225932,-0.10515489724435109,-0.04234391572034771,-1.0860484836041475
-0.1672238568052316,-0.09806337733150722,-0.0519824531872133,-1.051443824431266
-0.17899232849225932,-0.10515489724435109,-0.05937286641940481,-1.0168391652583846
-0.14684596514877626,-0.07309074586416127,-0.02149984393316029,-0.9822345060855031
-0.2010541109995868,-0.12722003791856684,-0.07201404539538678,-0.9476298469126218
-0.1295351576089566,-0.05586442811709521,0.00041067782191253713,-0.9130251877397403
-0.16955102965384503,-0.09572732070329745,-0.049550133336253695,-0.8784205285668588
