status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,neval_grad,init_eval_grad_time,is_init_run
first_order,NZF1,LBFGSSolver,47,988,0.19754039,1.621496e6,115,115,130,3.987e-6,122,0.001671992,false
first_order,NZF1,LBFGSSolver,48,988,0.184555099,1.650312e6,106,106,123,3.126e-6,114,0.001667002,false
first_order,NZF1,LBFGSSolver,49,988,0.17708075,1.680904e6,103,103,117,7.404e-6,109,0.001667783,false
first_order,NZF1,LBFGSSolver,50,988,0.176179173,1.71276e6,103,103,116,6.672e-6,108,0.001660109,false
first_order,NZF1,LBFGSSolver,51,988,0.184011971,1.746168e6,107,107,121,5.841e-6,113,0.001723049,false
first_order,NZF1,LBFGSSolver,52,988,0.178506613,1.77724e6,105,105,118,7.294e-6,110,0.0016871,false
first_order,NZF1,LBFGSSolver,53,988,0.175157334,1.808328e6,103,103,116,6.763e-6,108,0.001705916,false
first_order,NZF1,LBFGSSolver,54,988,0.159152946,1.836696e6,93,93,106,6.272e-6,98,0.001678995,false
first_order,NZF1,LBFGSSolver,55,988,0.162331644,1.869416e6,95,95,108,7.203e-6,100,0.001722216,false
first_order,NZF1,LBFGSSolver,56,988,0.163418789,1.901352e6,95,95,109,5.561e-6,101,0.001730623,false
first_order,NZF1,LBFGSSolver,57,988,0.162921839,1.933448e6,96,96,108,4.048e-6,100,0.001649698,false
first_order,NZF1,LBFGSSolver,58,988,0.163254889,1.964664e6,94,94,108,1.1823e-5,100,0.001716366,false
first_order,NZF1,LBFGSSolver,59,988,0.157525217,1.995688e6,92,92,104,1.021e-5,96,0.001695255,false
first_order,NZF1,LBFGSSolver,60,988,0.144024016,2.02476e6,84,84,96,3.386e-6,88,0.00169273,false
first_order,NZF1,LBFGSSolver,61,988,0.156454034,2.059016e6,90,90,104,7.785e-6,96,0.001692189,false
first_order,NZF1,LBFGSSolver,62,988,0.143883347,2.088632e6,84,84,97,3.517e-6,89,0.001692048,false
first_order,NZF1,LBFGSSolver,63,988,0.139981985,2.119672e6,82,82,94,8.907e-6,86,0.001695816,false
first_order,NZF1,LBFGSSolver,64,988,0.143489102,2.15228e6,84,84,96,8.586e-6,88,0.001712097,false
first_order,NZF1,LBFGSSolver,65,988,0.137850507,2.183016e6,81,81,93,4.518e-6,85,0.001696627,false
first_order,NZF1,LBFGSSolver,66,988,0.138377379,2.215e6,81,81,93,3.326e-6,85,0.001709753,false
first_order,NZF1,LBFGSSolver,67,988,0.138867694,2.246936e6,81,81,93,9.328e-6,85,0.001709311,false
first_order,NZF1,LBFGSSolver,68,988,0.138632007,2.278792e6,81,81,93,9.959e-6,85,0.001706776,false
first_order,NZF1,LBFGSSolver,69,988,0.138354974,2.310664e6,81,81,93,9.949e-6,85,0.001720283,false
first_order,NZF1,LBFGSSolver,70,988,0.138246902,2.342696e6,81,81,93,8.727e-6,85,0.001702578,false
first_order,NZF1,LBFGSSolver,71,988,0.137815704,2.374552e6,81,81,93,4.578e-6,85,0.001722026,false
first_order,NZF1,LBFGSSolver,72,988,0.138890676,2.406504e6,81,81,93,9.768e-6,85,0.001757634,false
first_order,NZF1,LBFGSSolver,73,988,0.138652677,2.43836e6,81,81,93,1.2745e-5,85,0.001691878,false
first_order,NZF1,LBFGSSolver,74,988,0.138599651,2.4702e6,81,81,93,7.014e-6,85,0.001694933,false
first_order,NZF1,LBFGSSolver,75,988,0.13920188,2.502056e6,81,81,93,8.857e-6,85,0.001702639,false
first_order,NZF1,LBFGSSolver,76,988,0.139008536,2.534104e6,81,81,93,9.318e-6,85,0.002356139,false
first_order,NZF1,LBFGSSolver,77,988,0.140410165,2.566072e6,81,81,93,1.0329e-5,85,0.001695826,false
first_order,NZF1,LBFGSSolver,78,988,0.138832592,2.597944e6,81,81,93,1.0089e-5,85,0.001656841,false
first_order,NZF1,LBFGSSolver,79,988,0.138318505,2.6298e6,81,81,93,6.603e-6,85,0.002268371,false
first_order,NZF1,LBFGSSolver,80,988,0.138675854,2.661656e6,81,81,93,7.254e-6,85,0.001722867,false
first_order,NZF1,LBFGSSolver,81,988,0.138378403,2.693512e6,81,81,93,9.949e-6,85,0.002835496,false
first_order,NZF1,LBFGSSolver,82,988,0.139715939,2.725624e6,81,81,93,9.087e-6,85,0.00173494,false
first_order,NZF1,LBFGSSolver,83,988,0.138614828,2.75748e6,81,81,93,8.907e-6,85,0.001685936,false
first_order,NZF1,LBFGSSolver,84,988,0.139881018,2.789464e6,81,81,93,3.287e-6,85,0.00170397,false
first_order,NZF1,LBFGSSolver,85,988,0.138399611,2.82132e6,81,81,93,8.467e-6,85,0.001693991,false
first_order,NZF1,LBFGSSolver,86,988,0.139439206,2.853176e6,81,81,93,1.1682e-5,85,0.001694322,false
first_order,NZF1,LBFGSSolver,87,988,0.139246004,2.885032e6,81,81,93,1.3175e-5,85,0.00170854,false
first_order,NZF1,LBFGSSolver,88,988,0.139081166,2.916888e6,81,81,93,1.4177e-5,85,0.001683662,false
first_order,NZF1,LBFGSSolver,89,988,0.138667242,2.948744e6,81,81,93,3.477e-6,85,0.001697898,false
first_order,NZF1,LBFGSSolver,90,988,0.138645538,2.98092e6,81,81,93,7.094e-6,85,0.001658082,false
first_order,NZF1,LBFGSSolver,91,988,0.14042557,3.012776e6,81,81,93,9.047e-6,85,0.001707667,false
first_order,NZF1,LBFGSSolver,92,988,0.13869148,3.044776e6,81,81,93,1.1653e-5,85,0.001683421,false
first_order,NZF1,LBFGSSolver,93,988,0.139131208,3.076632e6,81,81,93,9.809e-6,85,0.001767522,false
first_order,NZF1,LBFGSSolver,94,988,0.138819159,3.108488e6,81,81,93,9.779e-6,85,0.001696646,false
first_order,NZF1,LBFGSSolver,95,988,0.139225714,3.140344e6,81,81,93,8.847e-6,85,0.002203336,false
first_order,NZF1,LBFGSSolver,96,988,0.138761103,3.1722e6,81,81,93,6.252e-6,85,0.001700143,false
first_order,NZF1,LBFGSSolver,97,988,0.138986512,3.204056e6,81,81,93,4.709e-6,85,0.001715061,false
first_order,NZF1,LBFGSSolver,98,988,0.13871979,3.235912e6,81,81,93,8.166e-6,85,0.001684973,false
first_order,NZF1,LBFGSSolver,99,988,0.140184098,3.267768e6,81,81,93,9.338e-6,85,0.001712076,false
first_order,NZF1,LBFGSSolver,100,988,0.139414193,3.299944e6,81,81,93,1.1162e-5,85,0.001803239,false
first_order,arglina,LBFGSSolver,1,1000,0.011625992,112024.0,1,1,2,0.085879955,2,0.234328709,true
first_order,arglina,LBFGSSolver,1,1000,0.011624008,112024.0,1,1,2,4.8322e-5,2,0.006067217,false
first_order,arglina,LBFGSSolver,2,1000,0.011634728,144280.0,1,1,2,4.1479e-5,2,0.006094689,false
first_order,arglina,LBFGSSolver,3,1000,0.011650237,176472.0,1,1,2,3.9175e-5,2,0.006189731,false
first_order,arglina,LBFGSSolver,4,1000,0.01162047,208728.0,1,1,2,4.7821e-5,2,0.00604787,false
first_order,arglina,LBFGSSolver,5,1000,0.011644686,240920.0,1,1,2,3.8444e-5,2,0.006160275,false
first_order,arglina,LBFGSSolver,6,1000,0.011635378,273176.0,1,1,2,3.5428e-5,2,0.006213046,false
first_order,arglina,LBFGSSolver,7,1000,0.011661388,305368.0,1,1,2,3.7822e-5,2,0.006086483,false
first_order,arglina,LBFGSSolver,8,1000,0.011645167,337624.0,1,1,2,4.5998e-5,2,0.006108575,false
first_order,arglina,LBFGSSolver,9,1000,0.011663321,369816.0,1,1,2,4.1099e-5,2,0.006171656,false
first_order,arglina,LBFGSSolver,10,1000,0.011635198,402072.0,1,1,2,5.9344e-5,2,0.006622699,false
first_order,arglina,LBFGSSolver,11,1000,0.011647541,434264.0,1,1,2,3.9215e-5,2,0.00621565,false
first_order,arglina,LBFGSSolver,12,1000,0.011664873,466520.0,1,1,2,4.3233e-5,2,0.006453485,false
first_order,arglina,LBFGSSolver,13,1000,0.011680163,498712.0,1,1,2,4.2832e-5,2,0.006667163,false
first_order,arglina,LBFGSSolver,14,1000,0.011684952,530968.0,1,1,2,8.5994e-5,2,0.006893277,false
first_order,arglina,LBFGSSolver,15,1000,0.011697536,563160.0,1,1,2,3.9195e-5,2,0.006034232,false
first_order,arglina,LBFGSSolver,16,1000,0.011649394,595416.0,1,1,2,3.8955e-5,2,0.006066845,false
first_order,arglina,LBFGSSolver,17,1000,0.011652499,627608.0,1,1,2,3.5337e-5,2,0.005979979,false
first_order,arglina,LBFGSSolver,18,1000,0.011654884,659880.0,1,1,2,3.8955e-5,2,0.005926686,false
first_order,arglina,LBFGSSolver,19,1000,0.011662108,692056.0,1,1,2,3.9165e-5,2,0.006105369,false
first_order,arglina,LBFGSSolver,20,1000,0.011660064,724328.0,1,1,2,4.4836e-5,2,0.00591271,false
first_order,arglina,LBFGSSolver,21,1000,0.011654423,756504.0,1,1,2,3.5167e-5,2,0.006040194,false
first_order,arglina,LBFGSSolver,22,1000,0.011656597,788776.0,1,1,2,4.5928e-5,2,0.00608526,false
first_order,arglina,LBFGSSolver,23,1000,0.011666736,820952.0,1,1,2,3.8032e-5,2,0.010725466,false
first_order,arglina,LBFGSSolver,24,1000,0.011659732,853240.0,1,1,2,3.658e-5,2,0.00595455,false
first_order,arglina,LBFGSSolver,25,1000,0.011659643,885416.0,1,1,2,3.659e-5,2,0.005950783,false
first_order,arglina,LBFGSSolver,26,1000,0.011668249,917656.0,1,1,2,3.4887e-5,2,0.005977053,false
first_order,arglina,LBFGSSolver,27,1000,0.011665003,949880.0,1,1,2,3.4917e-5,2,0.005889736,false
first_order,arglina,LBFGSSolver,28,1000,0.011663339,982120.0,1,1,2,3.5007e-5,2,0.005936976,false
first_order,arglina,LBFGSSolver,29,1000,0.011669341,1.014296e6,1,1,2,0.000290596,2,0.011533912,false
first_order,arglina,LBFGSSolver,30,1000,0.011676975,1.046584e6,1,1,2,3.5438e-5,2,0.005930955,false
first_order,arglina,LBFGSSolver,31,1000,0.011672557,1.07876e6,1,1,2,3.5257e-5,2,0.00614285,false
first_order,arglina,LBFGSSolver,32,1000,0.011678809,1.111e6,1,1,2,3.5428e-5,2,0.009173166,false
first_order,arglina,LBFGSSolver,33,1000,0.011684739,1.143208e6,1,1,2,5.1388e-5,2,0.00620532,false
first_order,arglina,LBFGSSolver,34,1000,0.011670442,1.175448e6,1,1,2,4.5377e-5,2,0.005931165,false
first_order,arglina,LBFGSSolver,35,1000,0.011677826,1.207672e6,1,1,2,3.5257e-5,2,0.006040674,false
first_order,arglina,LBFGSSolver,36,1000,0.01167499,1.239976e6,1,1,2,3.5308e-5,2,0.006283759,false
first_order,arglina,LBFGSSolver,37,1000,0.01168519,1.272152e6,1,1,2,3.5648e-5,2,0.005893212,false
first_order,arglina,LBFGSSolver,38,1000,0.011689658,1.304376e6,1,1,2,4.0969e-5,2,0.005904223,false
first_order,arglina,LBFGSSolver,39,1000,0.011690851,1.336552e6,1,1,2,4.188e-5,2,0.005884235,false
first_order,arglina,LBFGSSolver,40,1000,0.011692925,1.368856e6,1,1,2,3.666e-5,2,0.005963807,false
first_order,arglina,LBFGSSolver,41,1000,0.011688456,1.401096e6,1,1,2,4.4144e-5,2,0.006004685,false
first_order,arglina,LBFGSSolver,42,1000,0.011695369,1.433272e6,1,1,2,3.8263e-5,2,0.005992622,false
first_order,arglina,LBFGSSolver,43,1000,0.011683256,1.465448e6,1,1,2,4.3313e-5,2,0.006230607,false
first_order,arglina,LBFGSSolver,44,1000,0.011589447,1.497752e6,1,1,2,5.9594e-5,2,0.006170022,false
first_order,arglina,LBFGSSolver,45,1000,0.011700859,1.530008e6,1,1,2,4.8923e-5,2,0.006316712,false
first_order,arglina,LBFGSSolver,46,1000,0.011647247,1.562184e6,1,1,2,4.2e-5,2,0.006099577,false
first_order,arglina,LBFGSSolver,47,1000,0.01161746,1.59436e6,1,1,2,3.9466e-5,2,0.006794105,false
first_order,arglina,LBFGSSolver,48,1000,0.011676833,1.626728e6,1,1,2,3.8113e-5,2,0.005986571,false
first_order,arglina,LBFGSSolver,49,1000,0.011682014,1.658904e6,1,1,2,3.8253e-5,2,0.006140865,false
first_order,arglina,LBFGSSolver,50,1000,0.01162783,1.69116e6,1,1,2,4.2772e-5,2,0.006102602,false
first_order,arglina,LBFGSSolver,51,1000,0.011704155,1.723336e6,1,1,2,3.9676e-5,2,0.005974647,false
first_order,arglina,LBFGSSolver,52,1000,0.011709686,1.755512e6,1,1,2,4.3463e-5,2,0.006140475,false
first_order,arglina,LBFGSSolver,53,1000,0.011725967,1.787688e6,1,1,2,5.0086e-5,2,0.005969657,false
first_order,arglina,LBFGSSolver,54,1000,0.011713263,1.820056e6,1,1,2,4.3614e-5,2,0.006164981,false
first_order,arglina,LBFGSSolver,55,1000,0.01166478,1.852344e6,1,1,2,3.9666e-5,2,0.006237811,false
first_order,arglina,LBFGSSolver,56,1000,0.011739273,1.88452e6,1,1,2,3.4956e-5,2,0.005991028,false
first_order,arglina,LBFGSSolver,57,1000,0.011722531,1.916696e6,1,1,2,3.9025e-5,2,0.006100989,false
first_order,arglina,LBFGSSolver,58,1000,0.011741687,1.948872e6,1,1,2,4.9404e-5,2,0.009399417,false
first_order,arglina,LBFGSSolver,59,1000,0.011724765,1.981048e6,1,1,2,3.7912e-5,2,0.007887526,false
first_order,arglina,LBFGSSolver,60,1000,0.011720427,2.013416e6,1,1,2,4.154e-5,2,0.005990948,false
