status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc
first_order,NZF1,LBFGSSolver,66,91,5.781326421,160.90504,59,59,70,0.102994368,14.51212,272241,64,0.594125619,78.952184,1527219
first_order,NZF1,LBFGSSolver,66,91,0.002298144,0.247824,59,59,70,1.2934e-5,0.000592,3,64,3.2492e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001788149,0.247824,59,59,70,1.352e-6,0.000592,3,64,1.9147e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001778991,0.247824,59,59,70,1.2904e-5,0.000592,3,64,1.9838e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001778139,0.247824,59,59,70,1.302e-6,0.000592,3,64,1.8756e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001786224,0.247824,59,59,70,1.212e-6,0.000592,3,64,1.7844e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001777287,0.247824,59,59,70,1.353e-6,0.000592,3,64,2.1802e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001747862,0.247824,59,59,70,1.493e-6,0.000592,3,64,1.8124e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017509469999999999,0.247824,59,59,70,1.242e-6,0.000592,3,64,1.7914e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001792327,0.247824,59,59,70,1.193e-6,0.000592,3,64,1.8486e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001780633,0.247824,59,59,70,1.302e-6,0.000592,3,64,2.5719e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001774823,0.247824,59,59,70,1.312e-6,0.000592,3,64,2.1421e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001859004,0.247824,59,59,70,3.767e-6,0.000592,3,64,2.1821e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017232150000000002,0.247824,59,59,70,1.443e-6,0.000592,3,64,1.8506e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001747,0.247824,59,59,70,1.132e-6,0.000592,3,64,1.6962e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00170036,0.247824,59,59,70,1.282e-6,0.000592,3,64,1.6682e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0016954919999999998,0.247824,59,59,70,1.273e-6,0.000592,3,64,1.8295e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001692195,0.247824,59,59,70,1.242e-6,0.000592,3,64,1.7083e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0016946399999999999,0.247824,59,59,70,1.112e-6,0.000592,3,64,1.6432e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0016983570000000002,0.247824,59,59,70,1.142e-6,0.000592,3,64,1.8084e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001691724,0.247824,59,59,70,1.132e-6,0.000592,3,64,1.6702e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001690582,0.247824,59,59,70,1.372e-6,0.000592,3,64,1.6802e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001669633,0.247824,59,59,70,1.203e-6,0.000592,3,64,1.6793e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001696934,0.247824,59,59,70,1.443e-6,0.000592,3,64,1.7002e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001741089,0.247824,59,59,70,1.253e-6,0.000592,3,64,1.8716e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001748302,0.247824,59,59,70,1.353e-6,0.000592,3,64,1.9156e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0016818760000000001,0.247824,59,59,70,1.333e-6,0.000592,3,64,1.8746e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001740087,0.247824,59,59,70,1.152e-6,0.000592,3,64,1.6681e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001733504,0.247824,59,59,70,1.092e-6,0.000592,3,64,1.6261e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001738213,0.247824,59,59,70,1.082e-6,0.000592,3,64,1.6652e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001732834,0.247824,59,59,70,1.152e-6,0.000592,3,64,1.6281e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017376730000000001,0.247824,59,59,70,1.373e-6,0.000592,3,64,1.8335e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00174151,0.247824,59,59,70,1.132e-6,0.000592,3,64,1.6392e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017426420000000002,0.247824,59,59,70,1.222e-6,0.000592,3,64,1.8445e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00174177,0.247824,59,59,70,1.042e-6,0.000592,3,64,1.8054e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001724066,0.247824,59,59,70,1.212e-6,0.000592,3,64,1.8405e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0016824869999999999,0.247824,59,59,70,1.172e-6,0.000592,3,64,1.6321e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001701203,0.247824,59,59,70,1.162e-6,0.000592,3,64,1.6451e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00182085,0.247824,59,59,70,4.299e-6,0.000592,3,64,2.7613e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001740106,0.247824,59,59,70,1.423e-6,0.000592,3,64,1.8445e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001752701,0.247824,59,59,70,1.423e-6,0.000592,3,64,1.8525e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017245869999999999,0.247824,59,59,70,1.152e-6,0.000592,3,64,1.6641e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001725349,0.247824,59,59,70,1.212e-6,0.000592,3,64,1.8015e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001730548,0.247824,59,59,70,1.282e-6,0.000592,3,64,1.6862e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001760687,0.247824,59,59,70,1.222e-6,0.000592,3,64,1.8275e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001716651,0.247824,59,59,70,1.473e-6,0.000592,3,64,1.8375e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00168447,0.247824,59,59,70,1.172e-6,0.000592,3,64,1.6802e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017017039999999998,0.247824,59,59,70,1.072e-6,0.000592,3,64,1.6641e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001729917,0.247824,59,59,70,1.383e-6,0.000592,3,64,1.8325e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017018439999999999,0.247824,59,59,70,1.162e-6,0.000592,3,64,1.8545e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001687867,0.247824,59,59,70,1.113e-6,0.000592,3,64,1.6913e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001750397,0.247824,59,59,70,1.463e-6,0.000592,3,64,1.6591e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001693968,0.247824,59,59,70,1.293e-6,0.000592,3,64,1.6852e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001727903,0.247824,59,59,70,1.493e-6,0.000592,3,64,2.4367e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001682537,0.247824,59,59,70,1.182e-6,0.000592,3,64,1.8285e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.00171082,0.247824,59,59,70,1.072e-6,0.000592,3,64,1.6812e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001717954,0.247824,59,59,70,1.122e-6,0.000592,3,64,1.8155e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001718124,0.247824,59,59,70,1.222e-6,0.000592,3,64,1.8165e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001748302,0.247824,59,59,70,1.824e-6,0.000592,3,64,2.6962e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001745668,0.247824,59,59,70,1.242e-6,0.000592,3,64,1.8436e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.0017117229999999998,0.247824,59,59,70,1.212e-6,0.000592,3,64,1.7934e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001742271,0.247824,59,59,70,1.182e-6,0.000592,3,64,1.6692e-5,0.00144,5
first_order,NZF1,LBFGSSolver,66,91,0.001688298,0.247824,59,59,70,1.152e-6,0.000592,3,64,1.8185e-5,0.00144,5
