Problem name,Solver,mem=,Runtime(ns),Memory used(bytes),Number of steps to solve(iterations),Number of vector-matrix opeartions
AMPGO02,lbfgs,94,106708.0,358024.0,1,1318
AMPGO02,lbfgs,95,106167.0,359880.0,1,1332
AMPGO02,lbfgs,96,108084.0,361736.0,1,1346
AMPGO02,lbfgs,97,116917.0,363592.0,1,1360
AMPGO02,lbfgs,98,107000.0,365448.0,1,1374
AMPGO02,lbfgs,99,103500.0,367304.0,1,1388
AMPGO02,lbfgs,100,109583.0,369480.0,1,1402
AMPGO03,lbfgs,1,81666.0,18456.0,1,1416
AMPGO03,lbfgs,2,79292.0,22376.0,1,1430
AMPGO03,lbfgs,3,80834.0,25784.0,1,1444
AMPGO03,lbfgs,4,85583.0,29256.0,1,1458
AMPGO03,lbfgs,5,79458.0,32664.0,1,1472
AMPGO03,lbfgs,6,110417.0,36136.0,1,1486
AMPGO03,lbfgs,7,82417.0,39544.0,1,1500
AMPGO03,lbfgs,8,80291.0,43016.0,1,1514
AMPGO03,lbfgs,9,80792.0,46936.0,1,1528
AMPGO03,lbfgs,10,87458.0,50408.0,1,1542
AMPGO03,lbfgs,11,83542.0,53816.0,1,1556
AMPGO03,lbfgs,12,81250.0,57288.0,1,1570
AMPGO03,lbfgs,13,84125.0,60696.0,1,1584
AMPGO03,lbfgs,14,83625.0,64168.0,1,1598
AMPGO03,lbfgs,15,84333.0,67576.0,1,1612
AMPGO03,lbfgs,16,88542.0,71048.0,1,1626
AMPGO03,lbfgs,17,83959.0,74968.0,1,1640
AMPGO03,lbfgs,18,84459.0,78456.0,1,1654
AMPGO03,lbfgs,19,91125.0,81848.0,1,1668
AMPGO03,lbfgs,20,83375.0,85336.0,1,1682
AMPGO03,lbfgs,21,87125.0,120472.0,1,1696
AMPGO03,lbfgs,22,85500.0,122424.0,1,1710
AMPGO03,lbfgs,23,84000.0,124280.0,1,1724
AMPGO03,lbfgs,24,108667.0,126248.0,1,1738
AMPGO03,lbfgs,25,86917.0,128104.0,1,1752
AMPGO03,lbfgs,26,87334.0,130024.0,1,1766
AMPGO03,lbfgs,27,87166.0,131928.0,1,1780
AMPGO03,lbfgs,28,88083.0,133848.0,1,1794
AMPGO03,lbfgs,29,85875.0,135704.0,1,1808
AMPGO03,lbfgs,30,85333.0,137672.0,1,1822
AMPGO03,lbfgs,31,88625.0,139528.0,1,1836
AMPGO03,lbfgs,32,99333.0,141448.0,1,1850
AMPGO03,lbfgs,33,88625.0,143336.0,1,1864
AMPGO03,lbfgs,34,88834.0,145256.0,1,1878
AMPGO03,lbfgs,35,113958.0,147160.0,1,1892
AMPGO03,lbfgs,36,90292.0,149144.0,1,1906
AMPGO03,lbfgs,37,94875.0,151000.0,1,1920
AMPGO03,lbfgs,38,90334.0,152904.0,1,1934
AMPGO03,lbfgs,39,99084.0,154760.0,1,1948
AMPGO03,lbfgs,40,102917.0,156744.0,1,1962
AMPGO03,lbfgs,41,88875.0,191432.0,1,1976
AMPGO03,lbfgs,42,95708.0,193288.0,1,1990
AMPGO03,lbfgs,43,96083.0,195144.0,1,2004
AMPGO03,lbfgs,44,92041.0,197128.0,1,2018
AMPGO03,lbfgs,45,91208.0,199064.0,1,2032
AMPGO03,lbfgs,46,93541.0,200920.0,1,2046
AMPGO03,lbfgs,47,93833.0,202776.0,1,2060
AMPGO03,lbfgs,48,128083.0,204824.0,1,2074
AMPGO03,lbfgs,49,94375.0,206680.0,1,2088
AMPGO03,lbfgs,50,97583.0,208616.0,1,2102
AMPGO03,lbfgs,51,92459.0,210472.0,1,2116
AMPGO03,lbfgs,52,92000.0,212328.0,1,2130
AMPGO03,lbfgs,53,91625.0,214184.0,1,2144
AMPGO03,lbfgs,54,92333.0,216232.0,1,2158
AMPGO03,lbfgs,55,95500.0,218200.0,1,2172
AMPGO03,lbfgs,56,96583.0,220056.0,1,2186
AMPGO03,lbfgs,57,95833.0,221912.0,1,2200
AMPGO03,lbfgs,58,95625.0,223768.0,1,2214
AMPGO03,lbfgs,59,96709.0,225624.0,1,2228
AMPGO03,lbfgs,60,95542.0,227672.0,1,2242
AMPGO03,lbfgs,61,95417.0,229528.0,1,2256
AMPGO03,lbfgs,62,95875.0,264232.0,1,2270
AMPGO03,lbfgs,63,98750.0,266088.0,1,2284
AMPGO03,lbfgs,64,97875.0,267944.0,1,2298
AMPGO03,lbfgs,65,100625.0,269800.0,1,2312
AMPGO03,lbfgs,66,99208.0,271784.0,1,2326
AMPGO03,lbfgs,67,97333.0,273720.0,1,2340
AMPGO03,lbfgs,68,99125.0,275576.0,1,2354
AMPGO03,lbfgs,69,97583.0,277432.0,1,2368
AMPGO03,lbfgs,70,97375.0,279480.0,1,2382
AMPGO03,lbfgs,71,100791.0,281336.0,1,2396
AMPGO03,lbfgs,72,97667.0,283272.0,1,2410
AMPGO03,lbfgs,73,98500.0,285128.0,1,2424
AMPGO03,lbfgs,74,98083.0,286984.0,1,2438
AMPGO03,lbfgs,75,98625.0,288840.0,1,2452
AMPGO03,lbfgs,76,99041.0,290888.0,1,2466
AMPGO03,lbfgs,77,101167.0,292856.0,1,2480
AMPGO03,lbfgs,78,99250.0,294712.0,1,2494
AMPGO03,lbfgs,79,103625.0,296568.0,1,2508
AMPGO03,lbfgs,80,100375.0,298424.0,1,2522
AMPGO03,lbfgs,81,102000.0,300280.0,1,2536
AMPGO03,lbfgs,82,108292.0,335160.0,1,2550
AMPGO03,lbfgs,83,102375.0,337016.0,1,2564
AMPGO03,lbfgs,84,100583.0,339000.0,1,2578
AMPGO03,lbfgs,85,110208.0,340856.0,1,2592
AMPGO03,lbfgs,86,109000.0,342712.0,1,2606
AMPGO03,lbfgs,87,106208.0,344568.0,1,2620
AMPGO03,lbfgs,88,103458.0,346424.0,1,2634
AMPGO03,lbfgs,89,104917.0,348280.0,1,2648
AMPGO03,lbfgs,90,103166.0,350456.0,1,2662
AMPGO03,lbfgs,91,110625.0,352312.0,1,2676
AMPGO03,lbfgs,92,106125.0,354312.0,1,2690
AMPGO03,lbfgs,93,103584.0,356168.0,1,2704
AMPGO03,lbfgs,94,106125.0,358024.0,1,2718
AMPGO03,lbfgs,95,105166.0,359880.0,1,2732
AMPGO03,lbfgs,96,107792.0,361736.0,1,2746
AMPGO03,lbfgs,97,113750.0,363592.0,1,2760
AMPGO03,lbfgs,98,106000.0,365448.0,1,2774
AMPGO03,lbfgs,99,109125.0,367304.0,1,2788
AMPGO03,lbfgs,100,110541.0,369480.0,1,2802
AMPGO04,lbfgs,1,80541.0,18456.0,1,2816
AMPGO04,lbfgs,2,80750.0,22376.0,1,2830
AMPGO04,lbfgs,3,81333.0,25784.0,1,2844
AMPGO04,lbfgs,4,81750.0,29256.0,1,2858
AMPGO04,lbfgs,5,80708.0,32664.0,1,2872
AMPGO04,lbfgs,6,79542.0,36136.0,1,2886
AMPGO04,lbfgs,7,80250.0,39544.0,1,2900
AMPGO04,lbfgs,8,81167.0,43016.0,1,2914
AMPGO04,lbfgs,9,87875.0,46936.0,1,2928
AMPGO04,lbfgs,10,89167.0,50408.0,1,2942
AMPGO04,lbfgs,11,83209.0,53816.0,1,2956
AMPGO04,lbfgs,12,84459.0,57288.0,1,2970
AMPGO04,lbfgs,13,81708.0,60696.0,1,2984
AMPGO04,lbfgs,14,84250.0,64168.0,1,2998
AMPGO04,lbfgs,15,88750.0,67576.0,1,3012
AMPGO04,lbfgs,16,83667.0,71048.0,1,3026
AMPGO04,lbfgs,17,84125.0,74968.0,1,3040
AMPGO04,lbfgs,18,86625.0,78456.0,1,3054
AMPGO04,lbfgs,19,84708.0,81848.0,1,3068
AMPGO04,lbfgs,20,84458.0,85336.0,1,3082
AMPGO04,lbfgs,21,83375.0,120472.0,1,3096
AMPGO04,lbfgs,22,85500.0,122424.0,1,3110
AMPGO04,lbfgs,23,86542.0,124280.0,1,3124
AMPGO04,lbfgs,24,85250.0,126248.0,1,3138
AMPGO04,lbfgs,25,86834.0,128104.0,1,3152
AMPGO04,lbfgs,26,87833.0,130024.0,1,3166
AMPGO04,lbfgs,27,88333.0,131928.0,1,3180
AMPGO04,lbfgs,28,85375.0,133848.0,1,3194
AMPGO04,lbfgs,29,85833.0,135704.0,1,3208
AMPGO04,lbfgs,30,85375.0,137672.0,1,3222
AMPGO04,lbfgs,31,87042.0,139528.0,1,3236
AMPGO04,lbfgs,32,98792.0,141448.0,1,3250
AMPGO04,lbfgs,33,87583.0,143336.0,1,3264
AMPGO04,lbfgs,34,88083.0,145256.0,1,3278
AMPGO04,lbfgs,35,87333.0,147160.0,1,3292
AMPGO04,lbfgs,36,87458.0,149144.0,1,3306
AMPGO04,lbfgs,37,87542.0,151000.0,1,3320
AMPGO04,lbfgs,38,90333.0,152904.0,1,3334
AMPGO04,lbfgs,39,90083.0,154760.0,1,3348
AMPGO04,lbfgs,40,91083.0,156744.0,1,3362
AMPGO04,lbfgs,41,88250.0,191432.0,1,3376
AMPGO04,lbfgs,42,92042.0,193288.0,1,3390
AMPGO04,lbfgs,43,91583.0,195144.0,1,3404
AMPGO04,lbfgs,44,90958.0,197128.0,1,3418
AMPGO04,lbfgs,45,93250.0,199064.0,1,3432
AMPGO04,lbfgs,46,96791.0,200920.0,1,3446
AMPGO04,lbfgs,47,90791.0,202776.0,1,3460
AMPGO04,lbfgs,48,91709.0,204824.0,1,3474
AMPGO04,lbfgs,49,94209.0,206680.0,1,3488
AMPGO04,lbfgs,50,95416.0,208616.0,1,3502
AMPGO04,lbfgs,51,95084.0,210472.0,1,3516
AMPGO04,lbfgs,52,92750.0,212328.0,1,3530
AMPGO04,lbfgs,53,94708.0,214184.0,1,3544
AMPGO04,lbfgs,54,93541.0,216232.0,1,3558
AMPGO04,lbfgs,55,93167.0,218200.0,1,3572
AMPGO04,lbfgs,56,93791.0,220056.0,1,3586
AMPGO04,lbfgs,57,92709.0,221912.0,1,3600
AMPGO04,lbfgs,58,97250.0,223768.0,1,3614
AMPGO04,lbfgs,59,93375.0,225624.0,1,3628
AMPGO04,lbfgs,60,95625.0,227672.0,1,3642
AMPGO04,lbfgs,61,97292.0,229528.0,1,3656
