PC,explained,cumulative
PC1,0.7321557862220461,0.7321557862220461
PC2,0.21266208644262113,0.9448178726646672
PC3,0.048818724954140684,0.9936365976188078
PC4,0.005877977788460806,0.9995145754072686
PC5,0.0004854245927312167,0.9999999999999999
