status,time,name,solver,mem,nvar,neval_obj,neval_grad,num_iter,time,is_scalable,FA_F1,FA_Score
first_order,0.8793787179906004,NZF1,LBFGSSolver,1,91,5.796057750765372,5.755742213586912,5.662960480135946,0.8793787179906004,False,0.34504101792805913,0.34504101792805913
first_order,0.8786586728453979,NZF1,LBFGSSolver,2,91,5.4116460518550396,5.37989735354046,5.298317366548036,0.8786586728453979,False,0.1822285308430228,0.1822285308430228
first_order,0.8787473842124875,NZF1,LBFGSSolver,3,91,5.459585514144159,5.43372200355424,5.365976015021851,0.8787473842124875,False,0.20555557006679978,0.20555557006679978
first_order,0.8785790378505831,NZF1,LBFGSSolver,4,91,5.3471075307174685,5.318119993844216,5.2574953720277815,0.8785790378505831,False,0.15548214681033656,0.15548214681033656
first_order,0.8787575578334486,NZF1,LBFGSSolver,5,91,5.44673737166631,5.420534999272286,5.3471075307174685,0.8787575578334486,False,0.19983836837945798,0.19983836837945798
first_order,0.8784429749210229,NZF1,LBFGSSolver,6,91,5.231108616854587,5.198497031265826,5.117993812416755,0.8784429749210229,False,0.10364530559566777,0.10364530559566777
first_order,0.8786784345104232,NZF1,LBFGSSolver,7,91,5.365976015021851,5.337538079701318,5.2574953720277815,0.8786784345104232,False,0.16387856369708306,0.16387856369708306
first_order,0.87845328457538,NZF1,LBFGSSolver,8,91,5.220355825078324,5.181783550292085,5.093750200806762,0.87845328457538,False,0.09640023337164091,0.09640023337164091
first_order,0.8784379012708179,NZF1,LBFGSSolver,9,91,5.176149732573829,5.135798437050262,5.056245805348308,0.8784379012708179,False,0.07648626662635337,0.07648626662635337
first_order,0.8782270268567443,NZF1,LBFGSSolver,10,91,5.0238805208462765,4.983606621708336,4.90527477843843,0.8782270268567443,False,0.01055633057568963,0.01055633057568963
first_order,0.8782629536429821,NZF1,LBFGSSolver,11,91,5.049856007249537,5.0106352940962555,4.9344739331306915,0.8782629536429821,False,0.02226689262554435,0.02226689262554435
first_order,0.8781162142754069,NZF1,LBFGSSolver,12,91,4.919980925828125,4.875197323201151,4.795790545596741,0.8781162142754069,False,-0.03640738313905938,-0.03640738313905938
first_order,0.8780670866354146,NZF1,LBFGSSolver,13,91,4.859812404361672,4.812184355372417,4.736198448394496,0.8780670866354146,False,-0.06370177682171638,-0.06370177682171638
first_order,0.8781894121262359,NZF1,LBFGSSolver,14,91,4.962844630259907,4.919980925828125,4.836281906951478,0.8781894121262359,False,-0.017010599193259732,-0.017010599193259732
first_order,0.8781245708372813,NZF1,LBFGSSolver,15,91,4.890349128221754,4.844187086458591,4.77912349311153,0.8781245708372813,False,-0.049829494230085036,-0.049829494230085036
first_order,0.8782193372332509,NZF1,LBFGSSolver,16,91,4.9344739331306915,4.890349128221754,4.762173934797756,0.8782193372332509,False,-0.029882687555702676,-0.029882687555702676
first_order,0.8780054475988281,NZF1,LBFGSSolver,17,91,4.74493212836325,4.68213122712422,4.584967478670572,0.8780054475988281,False,-0.1200554051471826,-0.1200554051471826
first_order,0.8779025856408309,NZF1,LBFGSSolver,18,91,4.634728988229636,4.574710978503383,4.48863636973214,0.8779025856408309,False,-0.16658261395638285,-0.16658261395638285
first_order,0.8779256071926487,NZF1,LBFGSSolver,19,91,4.634728988229636,4.574710978503383,4.48863636973214,0.8779256071926487,False,-0.16658261342179362,-0.16658261342179362
first_order,0.8779876422475976,NZF1,LBFGSSolver,20,91,4.700480365792417,4.6443908991413725,4.564348191467836,0.8779876422475976,False,-0.13639271747161294,-0.13639271747161294
first_order,0.8780812264139973,NZF1,LBFGSSolver,21,91,4.795790545596741,4.74493212836325,4.59511985013459,0.8780812264139973,False,-0.09289442496744536,-0.09289442496744536
first_order,0.8778640924488635,NZF1,LBFGSSolver,22,91,4.532599493153256,4.465908118654584,4.394449154672439,0.8778640924488635,False,-0.21370375035397474,-0.21370375035397474
first_order,0.877894077587081,NZF1,LBFGSSolver,23,91,4.584967478670572,4.5217885770490405,4.430816798843313,0.877894077587081,False,-0.18951226805153132,-0.18951226805153132
first_order,0.8779545742662402,NZF1,LBFGSSolver,24,91,4.672828834461906,4.59511985013459,4.499809670330265,0.8779545742662402,False,-0.15774456979198911,-0.15774456979198911
first_order,0.8779576220924271,NZF1,LBFGSSolver,25,91,4.663439094112067,4.59511985013459,4.454347296253507,0.8779576220924271,False,-0.15778316746209328,-0.15778316746209328
first_order,0.8778774108361215,NZF1,LBFGSSolver,26,91,4.5217885770490405,4.454347296253507,4.382026634673881,0.8778774108361215,False,-0.2187125194266985,-0.2187125194266985
first_order,0.8778349435952336,NZF1,LBFGSSolver,27,91,4.48863636973214,4.418840607796598,4.330733340286331,0.8778349435952336,False,-0.2341064361654481,-0.2341064361654481
first_order,0.8778418946040232,NZF1,LBFGSSolver,28,91,4.48863636973214,4.418840607796598,4.3694478524670215,0.8778418946040232,False,-0.23407543320701546,-0.23407543320701546
first_order,0.877757096644769,NZF1,LBFGSSolver,29,91,4.394449154672439,4.31748811353631,4.2626798770413155,0.877757096644769,False,-0.27798493019532317,-0.27798493019532317
first_order,0.8778124744883659,NZF1,LBFGSSolver,30,91,4.430816798843313,4.356708826689592,4.276666119016055,0.8778124744883659,False,-0.26101502984262365,-0.26101502984262365
first_order,0.8778709476516495,NZF1,LBFGSSolver,31,91,4.465908118654584,4.394449154672439,4.31748811353631,0.8778709476516495,False,-0.2446637225147577,-0.2446637225147577
first_order,0.8777874516403209,NZF1,LBFGSSolver,32,91,4.418840607796598,4.343805421853684,4.2626798770413155,0.8777874516403209,False,-0.2666055545468767,-0.2666055545468767
