status,name,solver,mem,nvar,time,memory,num_iter,nvmops,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc
first_order,NZF1,LBFGSSolver,66,91,6.021269791,160.970704,59,59,70,0.083622431,14.51212,272241,64,0.675640228,78.952184,1527219
first_order,NZF1,LBFGSSolver,66,988,0.139109629,2.215,81,81,94,6.633e-6,0.000592,3,86,0.001713306,0.0086,5
first_order,NZF1,LBFGSSolver,66,9997,14.254432988,21.893408,84,84,100,2.5168e-5,0.000592,3,91,0.155409675,0.080664,5
first_order,NZF1,LBFGSSolver,66,99996,1444.7009220740001,218.451744,81,81,96,0.000239397,0.000592,3,88,16.190676175,0.800664,5
max_time,NZF1,LBFGSSolver,66,999999,5258.84925292,2184.025104,1,1,12,0.002353389,0.000592,3,4,1743.312353586,8.000664,5
