status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,clplatea,LBFGSSolver,100,0.317668406,0.969312,6,8,4.629e-6,0.000592,3,8,6.6969e-5,0.00152,5,false
first_order,clplateb,LBFGSSolver,100,1.16941998,69.67368,4,6,0.229011925,38.49592,733466,6,0.513995199,38.22232,755524,true
first_order,clplateb,LBFGSSolver,100,0.3150714,1.01704,4,6,1.3045e-5,0.000592,3,6,8.0123e-5,0.00152,5,false
first_order,clplatec,LBFGSSolver,100,1.202349591,64.880736,5,7,0.209574791,30.382112,575151,7,0.474109093,34.335752,677841,true
first_order,clplatec,LBFGSSolver,100,0.32319387,2.609216,5,7,3.537e-6,0.000592,3,7,5.6438e-5,0.00152,5,false
first_order,cosine,LBFGSSolver,100,0.5997380379999999,27.700136,10,12,0.047793012,4.360016,85471,12,0.213852386,13.543352,267506,true
first_order,cosine,LBFGSSolver,100,0.264750898,0.27568,10,12,4.208e-6,0.000592,3,12,3.4205e-5,0.00152,5,false
first_order,cragglvy,LBFGSSolver,100,0.8525163410000001,45.139512,13,15,0.056153097,6.91896,136292,15,0.270043315,18.97288,379813,true
first_order,cragglvy,LBFGSSolver,100,0.331414227,1.212304,13,15,2.6852e-5,0.000592,3,15,4.8693e-5,0.00152,5,false
first_order,cragglvy2,LBFGSSolver,100,0.981684055,44.471656,14,16,0.057471653,6.449328,127543,16,0.250122204,18.67624,371608,true
first_order,cragglvy2,LBFGSSolver,100,0.487237774,1.463408,14,16,4.579e-6,0.000592,3,16,4.7982e-5,0.00152,5,false
first_order,curly,LBFGSSolver,100,0.845966223,43.29436,14,19,0.121405996,20.816512,402198,16,0.297886262,30.999528,612769,true
first_order,curly,LBFGSSolver,100,0.37672785000000003,5.351728,14,19,4.579e-6,0.000592,3,16,6.0987e-5,0.00152,5,false
first_order,curly10,LBFGSSolver,100,0.8575966930000001,43.279784,14,19,0.119403029,20.662248,400924,16,0.319843302,31.06748,612767,true
first_order,curly10,LBFGSSolver,100,0.34541126,5.351728,14,19,1.1131e-5,0.000592,3,16,6.8922e-5,0.00152,5,false
first_order,curly20,LBFGSSolver,100,0.837258613,42.214352,13,19,0.119247671,20.61936,400917,15,0.300846081,30.973744,612767,true
first_order,curly20,LBFGSSolver,100,0.373999403,4.25168,13,19,1.023e-5,0.000592,3,15,9.901e-5,0.00152,5,false
