,mean,std
nvmops,33943.025904761904,398941.34341617674
neval_obj,682660.4831428571,6486231.514300743
neval_grad,63795.17438095238,659838.3345472092
num_iter,33943.025904761904,398941.34341617674
mem,50.5,28.86607004772212
