PC,explained,cumulative
PC1,0.71445907315204,0.71445907315204
PC2,0.20002421079251584,0.9144832839445559
PC3,0.082975976275811,0.9974592602203669
PC4,0.002540739779633095,1.0
PC5,1.9786321478555585e-17,1.0
