status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,NZF1,LBFGSSolver,65,91,1.472546e6,244464.0,59,444636,405972
first_order,NZF1,LBFGSSolver,66,91,1.466685e6,247760.0,59,444153,405531
first_order,NZF1,LBFGSSolver,67,91,1.47481e6,251008.0,59,444360,405720
first_order,NZF1,LBFGSSolver,68,91,1.45954e6,254112.0,59,444153,405531
first_order,NZF1,LBFGSSolver,69,91,1.460503e6,257280.0,59,444774,406098
first_order,NZF1,LBFGSSolver,70,91,1.470231e6,260640.0,59,443808,405216
first_order,NZF1,LBFGSSolver,71,91,1.49072e6,263808.0,59,443532,404964
first_order,NZF1,LBFGSSolver,72,91,1.495309e6,266992.0,59,443118,404586
first_order,NZF1,LBFGSSolver,73,91,1.461765e6,270160.0,59,442911,404397
first_order,NZF1,LBFGSSolver,74,91,1.462076e6,273328.0,59,443601,405027
first_order,NZF1,LBFGSSolver,75,91,1.462216e6,276496.0,59,443463,404901
first_order,NZF1,LBFGSSolver,76,91,1.463108e6,279792.0,59,443670,405090
first_order,NZF1,LBFGSSolver,77,91,1.485781e6,283072.0,59,441669,403263
first_order,NZF1,LBFGSSolver,78,91,1.465041e6,286240.0,59,443187,404649
first_order,NZF1,LBFGSSolver,79,91,1.467516e6,289408.0,59,442842,404334
first_order,NZF1,LBFGSSolver,80,91,1.488806e6,292512.0,59,435804,397908
first_order,NZF1,LBFGSSolver,81,91,1.478597e6,295680.0,59,435804,397908
first_order,NZF1,LBFGSSolver,82,91,1.484648e6,299104.0,59,435873,397971
first_order,NZF1,LBFGSSolver,83,91,1.48559e6,302272.0,59,435735,397845
first_order,NZF1,LBFGSSolver,84,91,1.485851e6,305504.0,59,435597,397719
first_order,NZF1,LBFGSSolver,85,91,1.486262e6,308672.0,59,435873,397971
first_order,NZF1,LBFGSSolver,86,91,1.470562e6,311840.0,59,436563,398601
first_order,NZF1,LBFGSSolver,87,91,1.470743e6,315008.0,59,436632,398664
first_order,NZF1,LBFGSSolver,88,91,1.471974e6,318112.0,59,441945,403515
first_order,NZF1,LBFGSSolver,89,91,1.490279e6,321280.0,59,439737,401499
first_order,NZF1,LBFGSSolver,90,91,1.472535e6,324768.0,59,436011,398097
first_order,NZF1,LBFGSSolver,91,91,1.475651e6,327936.0,59,441531,403137
first_order,NZF1,LBFGSSolver,92,91,1.474229e6,331184.0,59,435252,397404
first_order,NZF1,LBFGSSolver,93,91,1.474579e6,334352.0,59,435321,397467
first_order,NZF1,LBFGSSolver,94,91,1.477114e6,337520.0,59,436494,398538
first_order,NZF1,LBFGSSolver,95,91,1.477595e6,340688.0,59,434976,397152
first_order,NZF1,LBFGSSolver,96,91,1.478476e6,343792.0,59,434838,397026
first_order,NZF1,LBFGSSolver,97,91,1.477515e6,346960.0,59,435666,397782
first_order,NZF1,LBFGSSolver,98,91,1.479839e6,350128.0,59,435183,397341
first_order,NZF1,LBFGSSolver,99,91,1.479138e6,353296.0,59,435183,397341
first_order,NZF1,LBFGSSolver,100,91,1.482434e6,356720.0,59,435114,397278
first_order,arglina,LBFGSSolver,1,100,120360.0,18824.0,1,97010,97010
first_order,arglina,LBFGSSolver,2,100,121242.0,22368.0,1,94806,94806
first_order,arglina,LBFGSSolver,3,100,121603.0,25840.0,1,94806,94806
first_order,arglina,LBFGSSolver,4,100,124027.0,29376.0,1,94260,94260
first_order,arglina,LBFGSSolver,5,100,123987.0,32848.0,1,93716,93716
first_order,arglina,LBFGSSolver,6,100,122785.0,36384.0,1,93716,93716
first_order,arglina,LBFGSSolver,7,100,123066.0,39856.0,1,93716,93716
first_order,arglina,LBFGSSolver,8,100,123366.0,43392.0,1,93174,93174
first_order,arglina,LBFGSSolver,9,100,123777.0,46864.0,1,93174,93174
first_order,arglina,LBFGSSolver,10,100,124097.0,50400.0,1,93174,93174
first_order,arglina,LBFGSSolver,11,100,124298.0,53872.0,1,92634,92634
first_order,arglina,LBFGSSolver,12,100,124498.0,57408.0,1,92096,92096
first_order,arglina,LBFGSSolver,13,100,125039.0,60880.0,1,91560,91560
first_order,arglina,LBFGSSolver,14,100,125380.0,64416.0,1,91560,91560
first_order,arglina,LBFGSSolver,15,100,125651.0,67888.0,1,91560,91560
first_order,arglina,LBFGSSolver,16,100,126822.0,71424.0,1,90494,90494
first_order,arglina,LBFGSSolver,17,100,127273.0,74896.0,1,89964,89964
first_order,arglina,LBFGSSolver,18,100,128455.0,78448.0,1,89436,89436
first_order,arglina,LBFGSSolver,19,100,128555.0,81904.0,1,89436,89436
first_order,arglina,LBFGSSolver,20,100,127273.0,85456.0,1,89436,89436
first_order,arglina,LBFGSSolver,21,100,127785.0,88912.0,1,89964,89964
first_order,arglina,LBFGSSolver,22,100,128285.0,92464.0,1,89964,89964
first_order,arglina,LBFGSSolver,23,100,128736.0,95920.0,1,89436,89436
first_order,arglina,LBFGSSolver,24,100,128696.0,99488.0,1,88910,88910
first_order,arglina,LBFGSSolver,25,100,128966.0,102944.0,1,88910,88910
first_order,arglina,LBFGSSolver,26,100,129728.0,106464.0,1,88386,88386
first_order,arglina,LBFGSSolver,27,100,129819.0,109968.0,1,87864,87864
first_order,arglina,LBFGSSolver,28,100,130168.0,113488.0,1,87864,87864
first_order,arglina,LBFGSSolver,29,100,130510.0,116944.0,1,87864,87864
first_order,arglina,LBFGSSolver,30,100,130821.0,120512.0,1,87344,87344
first_order,arglina,LBFGSSolver,31,100,131311.0,123968.0,1,86826,86826
first_order,arglina,LBFGSSolver,32,100,131512.0,127488.0,1,86826,86826
first_order,arglina,LBFGSSolver,33,100,131922.0,130976.0,1,86310,86310
first_order,arglina,LBFGSSolver,34,100,133425.0,134496.0,1,85284,85284
first_order,arglina,LBFGSSolver,35,100,133846.0,138000.0,1,85284,85284
first_order,arglina,LBFGSSolver,36,100,134488.0,141584.0,1,85284,85284
first_order,arglina,LBFGSSolver,37,100,133556.0,145040.0,1,84774,84774
first_order,arglina,LBFGSSolver,38,100,133776.0,148544.0,1,84774,84774
first_order,arglina,LBFGSSolver,39,100,134798.0,152000.0,1,84266,84266
first_order,arglina,LBFGSSolver,40,100,135299.0,155584.0,1,84266,84266
first_order,arglina,LBFGSSolver,41,100,135649.0,159104.0,1,83256,83256
first_order,arglina,LBFGSSolver,42,100,136001.0,162560.0,1,83760,83760
first_order,arglina,LBFGSSolver,43,100,135369.0,166016.0,1,84266,84266
first_order,arglina,LBFGSSolver,44,100,135590.0,169600.0,1,83760,83760
first_order,arglina,LBFGSSolver,45,100,136200.0,173136.0,1,83256,83256
first_order,arglina,LBFGSSolver,46,100,136581.0,176592.0,1,83256,83256
first_order,arglina,LBFGSSolver,47,100,136751.0,180048.0,1,83256,83256
first_order,arglina,LBFGSSolver,48,100,137162.0,183696.0,1,82754,82754
first_order,arglina,LBFGSSolver,49,100,137513.0,187152.0,1,82754,82754
first_order,arglina,LBFGSSolver,50,100,137983.0,190688.0,1,82254,82254
first_order,arglina,LBFGSSolver,51,100,138064.0,194144.0,1,82254,82254
first_order,arglina,LBFGSSolver,52,100,138605.0,197600.0,1,81756,81756
first_order,arglina,LBFGSSolver,53,100,138775.0,201056.0,1,82254,82254
first_order,arglina,LBFGSSolver,54,100,139347.0,204704.0,1,81260,81260
first_order,arglina,LBFGSSolver,55,100,139516.0,208272.0,1,81260,81260
first_order,arglina,LBFGSSolver,56,100,140058.0,211728.0,1,80766,80766
first_order,arglina,LBFGSSolver,57,100,139978.0,215184.0,1,80766,80766
first_order,arglina,LBFGSSolver,58,100,140629.0,218640.0,1,80274,80274
first_order,arglina,LBFGSSolver,59,100,141350.0,222096.0,1,80274,80274
first_order,arglina,LBFGSSolver,60,100,141520.0,225744.0,1,79784,79784
first_order,arglina,LBFGSSolver,61,100,141851.0,229200.0,1,79784,79784
first_order,arglina,LBFGSSolver,62,100,142042.0,232736.0,1,79784,79784
first_order,arglina,LBFGSSolver,63,100,142312.0,236192.0,1,79296,79296
first_order,arglina,LBFGSSolver,64,100,143445.0,239648.0,1,78810,78810
first_order,arglina,LBFGSSolver,65,100,144186.0,243104.0,1,78810,78810
first_order,arglina,LBFGSSolver,66,100,144366.0,246688.0,1,78326,78326
first_order,arglina,LBFGSSolver,67,100,143565.0,250224.0,1,78810,78810
first_order,arglina,LBFGSSolver,68,100,144396.0,253680.0,1,78326,78326
